StoreName,GroceryChain,Cycle,ZoneName,Address,City,State,Country,PostalCode,Case Count,SingleAd,DoubleAd
SAF07Y-1713,Safeway,C,07Y,22000 Salamo Road,West Linn,OR,US,97068,22,4300.00,6020.00
SAF07Y-0285,Safeway,A,07Y,8255 SW Wilsonville RD,Wilsonville,OR,US,97070,23,4400.00,6160.00
FME07Y-0516,Fred Meyer,B,07Y,30300 Southwest boones ferry Road,Wilsonville,OR,US,97070,28,4900.00,6860.00
FME07Z-0660,Fred Meyer,A,07Z,22855 NE Park Ln,Wood Village,OR,US,97060,26,4700.00,6580.00
SAF07Y-1976,Safeway,A,07Y,1550 North Pacific Highway,Woodburn,OR,US,97071,21,4175.00,5845.00
SAF07X-0533,Safeway,B,07X,19150 NE Woodinville Duvall Rd,Woodinville,WA,US,98077,16,3550.00,4970.00
HAG07X-3498,Haggen,B,07X,17641 Garden Way NE,Woodinville,WA,US,98072,22,4300.00,6020.00
SAF07Z-1762,Safeway,A,07Z,1725 Pacific Ave,Woodland,WA,US,98674,27,4800.00,6720.00
SAF07Z-1619,Safeway,C,07Z,1109 Yelm Avenue,Yelm,WA,US,98597,27,4800.00,6720.00
STB05X-0023,Stater Bros.,C,05X,34460 Yucaipa Blvd,Yucaipa,CA,US,92399,15,3425.00,4795.00
STB05X-0125,Stater Bros.,B,05X,11365 Bryant St,Yucaipa,CA,US,92399,16,3550.00,4970.00
VON05X-1796,Vons,B,05X,33644 Yucaipa Blvd,Yucaipa,CA,US,92399,17,3675.00,5145.00
VON05X-3058,Vons,A,05X,57590 29 Palms Hwy,Yucca Valley,CA,US,92284,9,2550.00,3570.00
STB05X-0096,Stater Bros.,B,05X,57075 Twentynine Palms Hwy.,Yucca Valley,CA,US,92284,13,3150.00,4410.00
STB05X-0120,Stater Bros.,A,05X,58060 29 Palms Hwy,Yucca Valley,CA,US,92284,14,3300.00,4620.00
